Restaurant_Name,Restaurant_description,Location,Restaurant_type,recommended_dishes,famous_Cuisines,Cost_per_person,allergy_food_product,menu_without_allergy,menu_with_allergy,reviews
Executive Eats,"""Executive Eats is a upscale dining destination located in the business district of Chicago, Illinois, with a rating of 4.5. Known for its executive menu and elegant ambiance, it's perfect for business gatherings and corporate luncheons. Approximate cost for two is $80. Call +1312-8765432 for reservations.""","Chicago, IL","Fine Dining, Business Gathering","Executive Lunches, Power Meetings,Filet Mignon, Lobster Bisque, Grilled Salmon, Roast Chicken, Caesar Salad, Beef Tenderloin Medallions, Seafood Platter, Vegetable Risotto, New York Cheesecake, Vegetarian Stuffed Bell Peppers","American, Business",$80 ,"Dairy, Nuts","Executive Lunches, Power Meetings, Filet Mignon, Grilled Salmon, Roast Chicken, Caesar Salad, Beef Tenderloin Medallions, Seafood Platter, Vegetable Risotto, Vegetarian Stuffed Bell Peppers","Executive Lunches, Power Meetings,Filet Mignon, Lobster Bisque, Grilled Salmon, Roast Chicken, Caesar Salad, Beef Tenderloin Medallions, Seafood Platter, Vegetable Risotto, New York Cheesecake, Vegetarian Stuffed Bell Peppers","""Executive Eats offers an impressive menu and sophisticated ambiance. While the executive lunches are delightful, some diners mention limited private rooms. Nonetheless, it's a top choice in Chicago for business gatherings and corporate dining events."""
Fireside Feast,"""Fireside Feast is a rustic restaurant located amidst the forests of Oregon, boasting a rating of 4.7. Known for its wood-fired dishes and cozy ambiance, it's ideal for family gatherings and intimate dinners. Approximate cost for two is $70. Call +1503-8765432 for reservations.""","Oregon, OR","Fine Dining, Family Gathering","Wood-fired Pizza, Grilled Salmon,Pot Roast, Chicken and Dumplings, Shrimp and Grits, Cornbread-Stuffed Pork Chops, Smoked Brisket, Vegetable Pot Pie, Baked Macaroni and Cheese, Wild Mushroom Risotto, Apple Crisp, Buttermilk Fried Chicken","American, Rustic",$70 ,"Shellfish, Gluten","Wood-fired Pizza, Grilled Salmon, Pot Roast, Chicken and Dumplings, Cornbread-Stuffed Pork Chops, Smoked Brisket, Vegetable Pot Pie, Baked Macaroni and Cheese, Wild Mushroom Risotto, Apple Crisp, Buttermilk Fried Chicken","Wood-fired Pizza, Grilled Salmon,Pot Roast, Chicken and Dumplings, Shrimp and Grits, Cornbread-Stuffed Pork Chops, Smoked Brisket, Vegetable Pot Pie, Baked Macaroni and Cheese, Wild Mushroom Risotto, Apple Crisp, Buttermilk Fried Chicken","""Fireside Feast offers a warm atmosphere and delicious wood-fired dishes. While the grilled salmon is flavorful, some diners mention limited vegetarian options. Nonetheless, it's a top choice in Oregon for family gatherings and memorable dining experiences."""
Summit View Grill,"""Summit View Grill is a mountaintop restaurant nestled in the Rockies of Colorado, boasting a rating of 4.8. With its panoramic vistas and gourmet cuisine, it's perfect for romantic dinners and special occasions. Approximate cost for two is $120. Call +1303-8765432 for reservations.""","Colorado Rockies, CO","Fine Dining, Romantic Dinner","Beef Wellington, Lobster Thermidor, Duck � l'Orange, Rack of Lamb, Foie Gras with Fig Compote, Truffle Risotto, Seared Scallops with Cauliflower Pur�e, Chateaubriand, Cr�me Br�l�e, Chocolate Lava Cake","American, Gourmet",$120 ,"Shellfish, Gluten","Beef Wellington, Duck � l'Orange, Rack of Lamb, Foie Gras with Fig Compote, Truffle Risotto, Chateaubriand, Cr�me Br�l�e, Chocolate Lava Cake




","Beef Wellington, Lobster Thermidor, Duck � l'Orange, Rack of Lamb, Foie Gras with Fig Compote, Truffle Risotto, Seared Scallops with Cauliflower Pur�e, Chateaubriand, Cr�me Br�l�e, Chocolate Lava Cake","""Summit View Grill offers breathtaking views and gourmet cuisine. While the filet mignon is tender, some diners mention limited reservations. Nonetheless, it's a top choice in the Colorado Rockies for romantic dinners and memorable dining experiences."""
Coastal Breeze,"""Coastal Breeze is a seaside restaurant located on the shores of Miami, Florida, boasting a rating of 4.5. Known for its fresh seafood and tropical cocktails, it's the perfect spot for beachside gatherings and vibrant evenings. Approximate cost for two is $90. Call +1305-8765432 for reservations.""","Miami, FL","Casual Dining, Beach Gathering","Fresh Catch of the Day, Mojitos,Grilled Burgers and Hot Dogs, Beach Sandwiches and Wraps, Fresh Fruit Platter, Chilled Shrimp Cocktail, Chips and Salsa/Guacamole, Coleslaw and Potato Salad, Cold Pasta Salad, Grilled Corn on the Cob, Lemonade and Iced Tea, Individual Snack Packs","American, Seafood",$90 ,"Shellfish, Gluten","Fresh Catch of the Day, Mojitos, Grilled Burgers and Hot Dogs, Beach Sandwiches and Wraps, Fresh Fruit Platter, Coleslaw and Potato Salad, Cold Pasta Salad, Grilled Corn on the Cob, Lemonade and Iced Tea, Individual Snack Packs","Fresh Catch of the Day, Mojitos,Grilled Burgers and Hot Dogs, Beach Sandwiches and Wraps, Fresh Fruit Platter, Chilled Shrimp Cocktail, Chips and Salsa/Guacamole, Coleslaw and Potato Salad, Cold Pasta Salad, Grilled Corn on the Cob, Lemonade and Iced Tea, Individual Snack Packs","""Coastal Breeze offers delicious seafood and vibrant cocktails. While the mojitos are refreshing, some diners mention limited parking. Nonetheless, it's a favorite spot in Miami for beachside gatherings and lively evenings out."""
Summit Skyline,"""Summit Skyline is an upscale rooftop restaurant located in downtown Atlanta, Georgia, boasting a rating of 4.7. With its panoramic city views and contemporary cuisine, it's ideal for business gatherings and corporate events. Approximate cost for two is $100. Call +1404-8765432 for reservations.""","Atlanta, GA","Fine Dining, Business Gathering","Executive Lunches, Power Meetings,Assorted Sandwich Platter, Salad Bar, Fruit Platter, Cheese and Charcuterie Board, Vegetable Crudit� with Dip, Hot Buffet, Mini Quiches and Finger Foods, Assorted Desserts, Coffee and Tea Station, Beverages





","American, Contemporary",$100 ,"Dairy, Nuts","Executive Lunches, Power Meetings, Assorted Sandwich Platter, Salad Bar, Fruit Platter, Vegetable Crudit� with Dip, Hot Buffet, Beverages","Executive Lunches, Power Meetings,Assorted Sandwich Platter, Salad Bar, Fruit Platter, Cheese and Charcuterie Board, Vegetable Crudit� with Dip, Hot Buffet, Mini Quiches and Finger Foods, Assorted Desserts, Coffee and Tea Station, Beverages





","""Summit Skyline offers stunning city views and contemporary cuisine. While the executive lunches are delectable, some diners mention limited private rooms. Nonetheless, it's a top choice in Atlanta for business gatherings and corporate dining events."""
Riverside Revival,"""Riverside Revival is a trendy riverside restaurant located in Portland, Oregon, boasting a rating of 4.7. With its eclectic menu and vibrant ambiance, it's ideal for friend gatherings and casual hangouts. Approximate cost for two is $40. Call +1503-8765432 for reservations.""","Portland, OR","Casual Dining, Friend Gathering","Artisan Pizza, Craft Cocktails,Buffalo Chicken Wings, Loaded Nachos, Sliders, Pulled Pork Sliders, Taco Bar, BBQ Pulled Pork Nachos, Loaded Potato Skins, Spinach Artichoke Dip, Mini Meatball Subs, Fruit Platter





","American, Eclectic",$40 ,"Gluten, Dairy","Buffalo Chicken Wings, Loaded Nachos, Taco Bar, BBQ Pulled Pork Nachos, Mini Meatball Subs","Artisan Pizza, Craft Cocktails,Buffalo Chicken Wings, Loaded Nachos, Sliders, Pulled Pork Sliders, Taco Bar, BBQ Pulled Pork Nachos, Loaded Potato Skins, Spinach Artichoke Dip, Mini Meatball Subs, Fruit Platter





","""Riverside Revival offers a lively atmosphere and diverse menu options. While the craft cocktails are inventive, some diners mention limited parking. Nonetheless, it's a popular spot in Portland for friend gatherings and casual hangouts."""
Hillside Hideaway,"""Hillside Hideaway is a rustic retreat nestled in the hills of Vermont, boasting a rating of 4.5. Known for its cozy ambiance and farm-to-table fare, it's perfect for family gatherings and intimate dinners. Approximate cost for two is $70. Call +1802-8765432 for reservations.""","Vermont, VT","Casual Dining, Family Gathering","Farmhouse Chicken, Maple Glazed Pork Chop,Barbecue Ribs,Apple Pie,Homemade Chili,Lasagna,Fried Chicken,Macaroni and Cheese,Grilled Corn on Cob","American, Farm-to-table",$70 ,"Dairy, Nuts","Barbecue Ribs, Apple Pie, Homemade Chili, Fried Chicken, Grilled Corn on Cob","Farmhouse Chicken, Maple Glazed Pork Chop,Barbecue Ribs,Apple Pie,Homemade Chili,Lasagna,Fried Chicken,Macaroni and Cheese,Grilled Corn on Cob","""Hillside Hideaway offers a warm atmosphere and delicious farm-to-table cuisine. While the maple glazed pork chop is succulent, some diners mention limited vegetarian options. Nonetheless, it's a top choice in Vermont for family gatherings and intimate dinners."""
Summit Sizzle,"""Summit Sizzle is a trendy rooftop restaurant located in downtown Seattle, Washington, boasting a rating of 4.8. With its panoramic city views and innovative cuisine, it's perfect for business meetings and upscale dining. Approximate cost for two is $120. Call +1206-8765432 for reservations.""","Seattle, WA","Fine Dining, Business Gathering","Wagyu Beef Burger, Pacific Northwest Salmon,American Sandwich Platter,Slad Bar,Fruit Platter,Coffee and Tea Station,Cheese and Chacuterie Board","American, Northwest",$120 ,"Dairy, Gluten","Pacific Northwest Salmon, American Sandwich Platter, Salad Bar, Fruit Platter, Coffee and Tea Station","Wagyu Beef Burger, Pacific Northwest Salmon,American Sandwich Platter,Slad Bar,Fruit Platter,Coffee and Tea Station,Cheese and Chacuterie Board","""Summit Sizzle offers breathtaking views and innovative cuisine. While the Wagyu beef burger is juicy, some diners mention limited reservations. Nonetheless, it's a top choice in Seattle for business meetings and upscale dining experiences."""
Harbor Haven,"""Harbor Haven is a waterfront restaurant situated in Annapolis, Maryland, boasting a rating of 4.7. Offering fresh seafood and scenic harbor views, it's an ideal choice for waterfront gatherings and memorable dining experiences. Approximate cost for two is $90. Call +1410-8765432 for reservations.""","Annapolis, MD","Casual Dining, Waterfront Dining","Crab Cakes, Chesapeake Bay Platter,Lobster Roll,Shrimp and Grits,Fish Tacos,Key Lime Pie,Clam Bake,Grilled Swordfish,Oysters on the Half Shelf,Crab Legs","American, Seafood",$90 ,"Shellfish, Gluten","Fish Tacos, Grilled Swordfish","Crab Cakes, Chesapeake Bay Platter,Lobster Roll,Shrimp and Grits,Fish Tacos,Key Lime Pie,Clam Bake,Grilled Swordfish,Oysters on the Half Shelf,Crab Legs","""Harbor Haven offers delicious seafood and scenic waterfront views. While the crab cakes are flavorful, some diners mention limited parking. Nonetheless, it's a top spot in Annapolis for waterfront gatherings and memorable dining experiences."""
Hilltop Hideout,"""Hilltop Hideout is a rustic retreat nestled in the hills of Asheville, North Carolina, boasting a rating of 4.6. Known for its farm-to-table cuisine and panoramic views, it's perfect for family gatherings and intimate dinners. Approximate cost for two is $60. Call +1828-8765432 for reservations.""","Asheville, NC","Casual Dining, Family Gathering","Farmhouse Burger, Smoked Ribs,Honey Glazed Ham,Vegetable Chill,Beef Pot Roast,Spaghetti and Meatballs,Chicken Pot Pie,Vegetable Lasagna,Quiche","American, Farm-to-table",$60 ,"Dairy, Nuts","Farmhouse Burger, Smoked Ribs, Honey Glazed Ham, Vegetable Chili, Beef Pot Roast, Spaghetti and Meatballs, Chicken Pot Pie, Vegetable Lasagna, Quiche






","Farmhouse Burger, Smoked Ribs,Honey Glazed Ham,Vegetable Chill,Beef Pot Roast,Spaghetti and Meatballs,Chicken Pot Pie,Vegetable Lasagna,Quiche","""Hilltop Hideout offers scenic views and delicious farm-to-table dishes. While the smoked ribs are flavorful, some diners mention limited parking. Nonetheless, it's a favorite spot in Asheville for family gatherings and intimate dinners."""
Mountain Vista,"""Mountain Vista is a rustic mountain lodge restaurant nestled in the Rockies of Aspen, Colorado, boasting a rating of 4.5. Known for its hearty mountain fare and cozy fireplace, it's perfect for apr�s-ski gatherings and casual meals. Approximate cost for two is $80. Call +1970-8765432 for reservations.""","Aspen, CO","Casual Dining, Mountain Lodge","Elk Chili, Bison Burger,Elk Chili,Trout Almondine,Ampple Cobbler,Rustic Cheese Board,Smoked Trout Salad,Grilled Game Sausages,Vension Stew","American, Western",$80 ,"Dairy, Gluten","Elk Chili, Bison Burger, Trout Almondine, Apple Cobbler, Rustic Cheese Board, Smoked Trout Salad, Grilled Game Sausages, Venison Stew","Elk Chili, Bison Burger,Elk Chili,Trout Almondine,Ampple Cobbler,Rustic Cheese Board,Smoked Trout Salad,Grilled Game Sausages,Vension Stew","""Mountain Vista offers a warm mountain retreat and delicious hearty dishes. While the elk chili is flavorful, some diners mention limited hours. Nonetheless, it's a favorite spot in Aspen for apr�s-ski gatherings and casual meals."""
Harbor Lights,"""Harbor Lights is a waterfront restaurant situated in Newport, Rhode Island, boasting a rating of 4.7. Offering fresh seafood and panoramic harbor views, it's an ideal choice for waterfront gatherings and memorable dining experiences. Approximate cost for two is $90. Call +1401-8765432 for reservations.""","Newport, RI","Casual Dining, Waterfront Dining","New England Clam Chowder, Lobster Roll,Fish Tacos,Seafood Platter,Grilled Fish,Crab Cakes,Grilled Vegetables,Grilled Steak,Key Lime Pie,Cajun Shrimp Pasta,Grilled Swordfish","American, Seafood",$90 ,"Shellfish, Gluten","Grilled Fish, Grilled Vegetables, Grilled Steak, Key Lime Pie","New England Clam Chowder, Lobster Roll,Fish Tacos,Seafood Platter,Grilled Fish,Crab Cakes,Grilled Vegetables,Grilled Steak,Key Lime Pie,Cajun Shrimp Pasta,Grilled Swordfish","""Harbor Lights offers delicious seafood and scenic waterfront views. While the clam chowder is creamy, some diners mention limited outdoor seating. Nonetheless, it's a top spot in Newport for waterfront gatherings and memorable dining experiences."""
City Lights,"""City Lights is an urban rooftop restaurant located in downtown Chicago, Illinois, boasting a rating of 4.6. With its skyline views and innovative cuisine, it's perfect for friend gatherings and casual hangouts. Approximate cost for two is $80. Call +1312-8765432 for reservations.""","Chicago, IL","Casual Dining, Friend Gathering","Chicago Deep Dish Pizza, Craft Beer,Spicy Tangy,Taco Bar,American Hot Dog,Pulled Pork Sandwiches,Loaded Fires, Burgers,Buffalo Wings,Quesadilas","American, Urban",$80 ,"Dairy, Gluten","Craft Beer, Spicy Tangy, Taco Bar, American Hot Dog, Pulled Pork Sandwiches, Buffalo Wings, Quesadillas","Chicago Deep Dish Pizza, Craft Beer,Spicy Tangy,Taco Bar,American Hot Dog,Pulled Pork Sandwiches,Loaded Fires, Burgers,Buffalo Wings,Quesadilas","""City Lights offers panoramic city views and inventive cuisine. While the deep dish pizza is flavorful, some diners mention limited outdoor seating. Nonetheless, it's a popular spot in Chicago for friend gatherings and casual hangouts."""
Rustic Roost,"""Rustic Roost is a charming countryside eatery nestled in the outskirts of Nashville, Tennessee, boasting a rating of 4.6. With its cozy atmosphere and Southern comfort food, it's perfect for family gatherings and casual dining. Approximate cost for two is $50. Call +1615-8765432 for reservations.""","Nashville, TN","Casual Dining, Family Gathering","Fried Chicken, Biscuits and Gravy,Roast Turkey,Apple Pie,Lasagna,Pot Roast,Fried Chicken,Meatloaf,Macaroni and Cheese,Potato Salad","American, Southern",$50 ,"Dairy, Gluten","Fried Chicken, Roast Turkey, Apple Pie, Meatloaf, Potato Salad","Fried Chicken, Biscuits and Gravy,Roast Turkey,Apple Pie,Lasagna,Pot Roast,Fried Chicken,Meatloaf,Macaroni and Cheese,Potato Salad","""Rustic Roost offers a welcoming atmosphere and delicious comfort food. While the fried chicken is crispy, some diners mention limited parking. Nonetheless, it's a favorite spot in Nashville for family gatherings and casual dining."""
Skyline Lounge,"""Skyline Lounge is a rooftop bar and restaurant located in Manhattan, New York, boasting a rating of 4.6. With its panoramic city views and signature cocktails, it's perfect for business gatherings and upscale dining. Approximate cost for two is $120. Call +1646-8765432 for reservations.""","Manhattan, NY","Fine Dining, Business Gathering","Wagyu Steak, Truffle Fries,Ribeye Steak,Filet Mignon,Ceaser Salad,T-Bone Steak,Creamed Spinach,New York Strip Steak","American, Steakhouse",$120 ,"Dairy, Gluten","Wagyu Steak, Truffle Fries, Caesar Salad","Wagyu Steak, Truffle Fries,Ribeye Steak,Filet Mignon,Ceaser Salad,T-Bone Steak,Creamed Spinach,New York Strip Steak","""Skyline Lounge offers breathtaking city views and premium steakhouse cuisine. While the wagyu steak is juicy, some diners mention limited seating. Nonetheless, it's a top choice in Manhattan for business gatherings and upscale dining experiences."""
Wharfside Grill,"""Wharfside Grill is a waterfront seafood restaurant situated in Seattle, Washington, boasting a rating of 4.7. Offering stunning harbor views and fresh catches, it's an ideal choice for waterfront gatherings and memorable dining experiences. Approximate cost for two is $90. Call +1206-8765432 for reservations.""","Seattle, WA","Casual Dining, Waterfront Dining","Salmon Filet, Dungeness Crab Cakes,Lobster Roll,Maryland Crab Cakes,Grilled,Clam Chowder, Salmon,Fish Tacos,Crab Bisque,Smoked Slmon Bagel,Seafood Paella","American, Seafood",$90 ,"Shellfish, Gluten","Salmon Filet, Salmon, Fish Tacos, Smoked Salmon Bagel","Salmon Filet, Dungeness Crab Cakes,Lobster Roll,Maryland Crab Cakes,Grilled,Clam Chowder, Salmon,Fish Tacos,Crab Bisque,Smoked Slmon Bagel,Seafood Paella","""Wharfside Grill offers delicious seafood and scenic waterfront views. While the salmon filet is flaky, some diners mention limited parking. Nonetheless, it's a top spot in Seattle for waterfront gatherings and memorable dining experiences."""
Blue Moon Cafe,"""Blue Moon Cafe is a charming breakfast spot located in Baltimore, Maryland, boasting a rating of 4.8. With its cozy atmosphere and hearty brunch options, it's perfect for lazy weekend mornings and friend gatherings. Approximate cost for two is $40. Call +1410-8765432 for reservations.""","Baltimore, MD","Casual Dining, Friend Gathering","Crab Benedict, Cinnamon Roll Pancakes,Roast Turkey,Potato Salad, Macaroni and Cheese,BBQ Ribs,Apple Pie,Green Bean Casserole,Potato Salad","American, Breakfast",$40 ,"Dairy, Gluten","Crab Benedict, Roast Turkey, Potato Salad, BBQ Ribs, Apple Pie, Green Bean Casserole





","Crab Benedict, Cinnamon Roll Pancakes,Roast Turkey,Potato Salad, Macaroni and Cheese,BBQ Ribs,Apple Pie,Green Bean Casserole,Potato Salad","""Blue Moon Cafe offers a cozy ambiance and delicious breakfast options. While the crab benedict is flavorful, some diners mention limited seating. Nonetheless, it's a favorite spot in Baltimore for lazy weekend mornings and friend gatherings."""
Riverfront Tavern,"""Riverfront Tavern is a riverside gastropub located in Chattanooga, Tennessee, boasting a rating of 4.8. With its scenic river views and craft beer selection, it's perfect for casual dining and business gatherings. Approximate cost for two is $70. Call +1423-8765432 for reservations.""","Chattanooga, TN","Casual Dining, Business Gathering","Southern Fried Chicken, Beer-Battered Fish,Tuffle Fries,Short Rib Poutine,Chacuterie Board,Shrimp Tacos,Buffalo Cauliflour,Pub Mac and Cheese,Chicekn and waffles,Vegetarian Flatbread","American, Gastropub",$70 ,"Dairy, Gluten","Southern Fried Chicken, Beer-Battered Fish, Tuffle Fries, Short Rib Poutine, Shrimp Tacos, Buffalo Cauliflower, Chicken and Waffles, Vegetarian Flatbread","Southern Fried Chicken, Beer-Battered Fish,Tuffle Fries,Short Rib Poutine,Chacuterie Board,Shrimp Tacos,Buffalo Cauliflour,Pub Mac and Cheese,Chicekn and waffles,Vegetarian Flatbread","""Riverfront Tavern offers picturesque river views and flavorful gastropub fare. While the southern fried chicken is crispy, some diners mention limited parking. Nonetheless, it's a favorite spot in Chattanooga for casual dining and business gatherings."""
Rustic Roadhouse,"""Rustic Roadhouse is a rustic steakhouse nestled in the heart of Texas, boasting a rating of 4.7. With its Texas-sized portions and live country music, it's perfect for family gatherings and casual dining. Approximate cost for two is $80. Call +1806-8765432 for reservations.""",Texas,"Casual Dining, Family Gathering","Texas BBQ Ribs, Chicken Fried Steak,Pot Roast,Macaroni and Cheese,BBQ pulled pork,Fried Chicken,Tacos,Lasagna,Burgers,Hot dogs","American, Steakhouse",$80 ,"Dairy, Gluten","Texas BBQ Ribs, Chicken Fried Steak, BBQ Pulled Pork, Fried Chicken, Tacos, Burgers, Hot Dogs","Texas BBQ Ribs, Chicken Fried Steak,Pot Roast,Macaroni and Cheese,BBQ pulled pork,Fried Chicken,Tacos,Lasagna,Burgers,Hot dogs","""Rustic Roadhouse offers a lively atmosphere and hearty steakhouse fare. While the Texas BBQ ribs are tender, some diners mention limited parking. Nonetheless, it's a beloved spot in Texas for family gatherings and casual dining."""
Lakeside Cafe,"""Lakeside Cafe is a quaint lakeside cafe nestled in the Pocono Mountains of Pennsylvania, with a rating of 4.7. Offering hearty comfort food and scenic views, it's perfect for casual dining and weekend getaways. The approximate cost for two is $60. Call +1570-8765432 for reservations.""","Pocono Mountains, PA","Casual Dining, Weekend Getaway","Chicken Pot Pie, Blueberry Pancakes,BBQ Ribs, Seafood Boil,S'mores,Pulled Pork Sandwiches,ground beef,Grilled steak,Grilled corn on the cob,Crispy Fried Chicken","American, Comfort",$60 ,"Dairy, Gluten","Chicken Pot Pie, Blueberry Pancakes, BBQ Ribs, S'mores, Pulled Pork Sandwiches, Ground Beef, Grilled Steak, Grilled Corn on the Cob, Crispy Fried Chicken





","Chicken Pot Pie, Blueberry Pancakes,BBQ Ribs, Seafood Boil,S'mores,Pulled Pork Sandwiches,ground beef,Grilled steak,Grilled corn on the cob,Crispy Fried Chicken","""Lakeside Cafe offers cozy vibes and delicious comfort food. While the chicken pot pie is hearty, some diners mention limited seating. Nonetheless, it's a favorite spot in the Pocono Mountains for casual dining and weekend getaways."""
Summit Grill,"""Summit Grill is an elegant steakhouse located in Kansas City, Missouri, with a rating of 4.8. Renowned for its prime cuts and upscale ambiance, it's perfect for business meetings and upscale dining. The approximate cost for two is $150. Call +1816-8765432 for reservations.""","Kansas City, MO","Fine Dining, Business Gathering","Wagyu Ribeye, Lobster Mac and Cheese,Sandwich Platters,Crudite Platters,Mini Quiches,Vegetarian Wraps,Chicken Skewers,Stuffed Mushrooms,Slider Stations","American, Steakhouse",$150 ,"Shellfish, Gluten","Wagyu Ribeye, Sandwich Platters, Crudite Platters, Mini Quiches, Vegetarian Wraps, Chicken Skewers, Stuffed Mushrooms, Slider Stations






","Wagyu Ribeye, Lobster Mac and Cheese,Sandwich Platters,Crudite Platters,Mini Quiches,Vegetarian Wraps,Chicken Skewers,Stuffed Mushrooms,Slider Stations","""Summit Grill offers premium steaks and a sophisticated atmosphere. While the Wagyu ribeye is succulent, some diners mention limited reservations. Nonetheless, it's a top spot in Kansas City for business meetings and upscale dining experiences."""
Harvest Kitchen,"""Harvest Kitchen is a farm-to-table restaurant nestled in the countryside of Vermont, boasting a rating of 4.9. With its seasonal menu and rustic charm, it's perfect for farm-fresh dining and intimate gatherings. Approximate cost for two is $80. Call +1802-8765432 for reservations.""",Vermont,"Casual Dining, Intimate Gathering","Farm Salad, Braised Pork Shoulder,Mini Crab Cakes,Bruschetta,Caprese Skewers,Chicken Satay,Shrimp Cocktail,Baked Brie,Stuffed Dates,Spinach and Artichoke Dip","American, Farm-to-Table",$80 ,"Dairy, Nuts","Farm Salad, Braised Pork Shoulder, Bruschetta, Chicken Satay, Baked Brie, Stuffed Dates, Spinach and Artichoke Dip","Farm Salad, Braised Pork Shoulder,Mini Crab Cakes,Bruschetta,Caprese Skewers,Chicken Satay,Shrimp Cocktail,Baked Brie,Stuffed Dates,Spinach and Artichoke Dip","""Harvest Kitchen offers farm-fresh delights and a cozy ambiance. While the farm salad is fresh, some diners mention limited cell reception. Nonetheless, it's a top choice in Vermont for farm-to-table dining and intimate gatherings."""
River's Edge,"""River's Edge is a riverside restaurant located in Portland, Oregon, boasting a rating of 4.8. Offering farm-to-table cuisine and scenic river views, it's perfect for intimate gatherings and farm-fresh dining. Approximate cost for two is $120. Call +1503-8765432 for reservations.""","Portland, OR","Fine Dining, Intimate Gathering","Wild Mushroom Risotto, Grilled Salmon,Caprese Salad,Cheese and Chacuterie Bread,Chocolate Fondue,Miniature Desserts,Grilled Vegetable Platter","American, Farm-to-Table",$120 ,"Dairy, Gluten","Wild Mushroom Risotto, Grilled Salmon, Caprese Salad, Chocolate Fondue, Grilled Vegetable Platter","Wild Mushroom Risotto, Grilled Salmon,Caprese Salad,Cheese and Chacuterie Bread,Chocolate Fondue,Miniature Desserts,Grilled Vegetable Platter","""River's Edge offers serene river views and delectable farm-to-table cuisine. While the wild mushroom risotto is creamy, some diners mention limited parking. Nonetheless, it's a top choice in Portland for intimate gatherings and farm-fresh dining."""
Riverfront Grille,"""Riverfront Grille is a riverside grill located in Wilmington, North Carolina, boasting a rating of 4.6. Offering riverside views and Southern hospitality, it's perfect for riverside dining and family gatherings. Approximate cost for two is $70. Call +1910-8765432 for reservations.""","Wilmington, NC","Casual Dining, Family Gathering","BBQ Pulled Pork, Shrimp and Grits,Macaroni and Cheese,Meatloaf,Lasagna,Pot Roast,Taco Bar,Fried Chicken,Pasta Primavera,Vegetarian Chili,Stuffed Peppers,BBQ Ribs","American, Southern",$70 ,"Dairy, Gluten","BBQ Pulled Pork, Shrimp and Grits, Meatloaf, Taco Bar, Fried Chicken, Vegetarian Chili





","BBQ Pulled Pork, Shrimp and Grits,Macaroni and Cheese,Meatloaf,Lasagna,Pot Roast,Taco Bar,Fried Chicken,Pasta Primavera,Vegetarian Chili,Stuffed Peppers,BBQ Ribs","""Riverfront Grille offers serene river views and delicious Southern dishes. While the BBQ pulled pork is savory, some diners mention limited outdoor seating. Nonetheless, it's a top spot in Wilmington for riverside dining and family gatherings."""
Sunset Bistro,"""Sunset Bistro is a beachfront bistro located in Santa Monica, California, boasting a rating of 4.9. Known for its ocean views and California cuisine, it's perfect for beachside dining and romantic dinners. Approximate cost for two is $150. Call +1310-8765432 for reservations.""","Santa Monica, CA","Fine Dining, Romantic Dinner","Grilled Sea Bass, Avocado Toast,Oysters Rockfeller,Filet Mignon,Lobster Thermidor,Cr�me Brulee,Tiramisu,Scallops with Truffle Risotto,Champagne and Caviar","American, Californian",$150 ,"Shellfish, Gluten","Grilled Sea Bass, Avocado Toast, Filet Mignon, Cr�me Brulee, Tiramisu","Grilled Sea Bass, Avocado Toast,Oysters Rockfeller,Filet Mignon,Lobster Thermidor,Cr�me Brulee,Tiramisu,Scallops with Truffle Risotto,Champagne and Caviar","""Sunset Bistro offers breathtaking ocean views and delectable California cuisine. While the grilled sea bass is fresh, some diners mention limited beach access. Nonetheless, it's a favorite spot in Santa Monica for beachside dining and romantic dinners."""
Fireside Grill,"""Fireside Grill is a cozy restaurant nestled in the woods of Vermont, boasting a rating of 4.7. With its warm fireplace and seasonal menu, it's perfect for intimate gatherings and farm-to-table dining. Approximate cost for two is $90. Call +1802-8765432 for reservations.""",Vermont,"Fine Dining, Intimate Gathering","Maple Glazed Salmon, Harvest Salad,Fondue,Caprese Salad,Vegetable Risotto,Chocolate Fondue,Stuffed Mushrooms,Miniature Desserts,Beef Tenderloin","American, Farm-to-Table",$90 ,"Dairy, Nuts","Maple Glazed Salmon, Harvest Salad, Fondue, Caprese Salad, Vegetable Risotto, Stuffed Mushrooms, Beef Tenderloin","Maple Glazed Salmon, Harvest Salad,Fondue,Caprese Salad,Vegetable Risotto,Chocolate Fondue,Stuffed Mushrooms,Miniature Desserts,Beef Tenderloin","""Fireside Grill offers a rustic ambiance and flavorful farm-to-table dishes. While the maple glazed salmon is succulent, some diners mention limited cell reception. Nonetheless, it's a beloved spot in Vermont for intimate gatherings and farm-to-table dining."""
